Exercise Name,Type of Activity,Type of Equipment,Body Part,Type,Muscle Groups Activated,Instructions,Video Link
Sled Pull,Warm-up,Dumbbells,Core,Pull,"Hip Flexors, Glutes","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=aclHkVaku9U
Russian Twists,Mobility,Resistance Band,Lower body,Stretch,"Lower Abdominals, Hip Flexors","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=op9kVnSso6Q
Tricep Extension,Warm-up,Foam Roller,Upper body,Stretch,"Abdominals, Lower Back, Shoulders","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=aclHkVaku9U
Shoulder Stretch,Strength,Kettlebell,Upper body,Push,"Shoulders, Triceps","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=JB2oyawG9KI
Stretching Routine,Cardio,Dumbbells,Core,Stretch,"Shoulders, Triceps","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Child's Pose,Cardio,Resistance Band,Core,Hold,"Hamstrings, Glutes, Lower Back","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=op9kVnSso6Q
Zercher Squat,Mobility,Resistance Band,Upper body,Pull,"Biceps, Forearms","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=9FGilxCbdz8
Medicine Ball Toss,Stretching,Foam Roller,Upper body,Push,"Hamstrings, Glutes, Lower Back","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=aclHkVaku9U
Hollow Hold,Strength,Barbell,Core,Pull,"Abdominals, Lower Back, Shoulders","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Yoga Flow,Stretching,Barbell,Lower body,Hold,"Biceps, Forearms","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=aclHkVaku9U
Burpees,Stretching,Foam Roller,Core,Hold,"Hamstrings, Glutes, Lower Back","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=JB2oyawG9KI
Pull-Ups,Stretching,Foam Roller,Upper body,Push,"Quadriceps, Glutes, Hamstrings","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=aclHkVaku9U
Reverse Crunch,Strength,Foam Roller,Lower body,Hold,"Biceps, Forearms","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=pSHjTRCQxIw
High Knees,Cardio,Dumbbells,Core,Pull,"Lats, Biceps, Rear Delts","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Handstand Hold,Warm-up,Bodyweight,Core,Hold,"Lats, Biceps, Rear Delts","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=9FGilxCbdz8
Front Raises,Strength,Kettlebell,Lower body,Stretch,"Lower Abdominals, Hip Flexors","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Cable Fly,Cardio,Kettlebell,Core,Pull,"Quadriceps, Glutes, Hamstrings","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Windshield Wipers,Stretching,Barbell,Lower body,Push,"Quadriceps, Glutes, Hamstrings","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Russian Twists,Warm-up,Kettlebell,Lower body,Push,"Shoulders, Triceps","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=9FGilxCbdz8
Front Raises,Cardio,Resistance Band,Core,Push,"Hamstrings, Glutes, Lower Back","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Seated Row,Cardio,Dumbbells,Upper body,Push,"Hip Flexors, Glutes","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Kettlebell Swing,Strength,Bodyweight,Upper body,Pull,"Lower Abdominals, Hip Flexors","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=aclHkVaku9U
Bird Dog,Cardio,Dumbbells,Core,Hold,"Hip Flexors, Glutes","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Turkish Get-Up,Stretching,Barbell,Lower body,Pull,"Hamstrings, Glutes, Lower Back","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=aclHkVaku9U
Chest Stretch,Stretching,Foam Roller,Upper body,Push,"Biceps, Forearms","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=9FGilxCbdz8
High Knees,Stretching,Dumbbells,Lower body,Push,"Abdominals, Obliques","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=aclHkVaku9U
Lunge Stretch,Mobility,Barbell,Lower body,Stretch,"Chest, Triceps, Shoulders","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Dips,Stretching,Bodyweight,Upper body,Pull,"Lower Abdominals, Hip Flexors","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Medicine Ball Slam,Stretching,Barbell,Core,Push,"Quadriceps, Glutes, Hamstrings","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Lateral Raises,Mobility,Barbell,Core,Push,"Lats, Biceps, Rear Delts","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=9FGilxCbdz8
Medicine Ball Slam,Stretching,Barbell,Lower body,Stretch,"Abdominals, Lower Back, Shoulders","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=JB2oyawG9KI
Hip Thrusts,Mobility,Resistance Band,Upper body,Hold,"Lats, Biceps, Rear Delts","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=JB2oyawG9KI
Jump Squats,Strength,Bodyweight,Core,Hold,"Quadriceps, Glutes, Hamstrings","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=op9kVnSso6Q
Medicine Ball Slam,Mobility,Resistance Band,Lower body,Stretch,"Hamstrings, Glutes, Lower Back","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Shoulder Stretch,Strength,Foam Roller,Core,Push,"Biceps, Forearms","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Goblet Squat,Cardio,Foam Roller,Core,Hold,"Quadriceps, Glutes, Hamstrings","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Seated Row,Warm-up,Kettlebell,Lower body,Stretch,"Lats, Biceps, Rear Delts","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Tricep Extension,Cardio,Dumbbells,Upper body,Hold,"Chest, Triceps, Shoulders","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Superman,Warm-up,Foam Roller,Upper body,Stretch,"Abdominals, Lower Back, Shoulders","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Overhead Press,Strength,Barbell,Lower body,Push,"Abdominals, Lower Back, Shoulders","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Boxing Drills,Mobility,Resistance Band,Lower body,Stretch,"Biceps, Forearms","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Reverse Lunge,Cardio,Dumbbells,Core,Push,"Lower Abdominals, Hip Flexors","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=op9kVnSso6Q
High Knees,Cardio,Foam Roller,Lower body,Pull,"Chest, Triceps, Shoulders","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=JB2oyawG9KI
Handstand Hold,Cardio,Barbell,Lower body,Pull,"Quadriceps, Glutes, Hamstrings","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Mountain Climbers,Mobility,Kettlebell,Core,Push,"Quadriceps, Glutes, Hamstrings","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Glute Bridges,Stretching,Dumbbells,Lower body,Hold,"Hip Flexors, Glutes","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Diamond Push-Up,Cardio,Kettlebell,Core,Pull,"Lats, Biceps, Rear Delts","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=9FGilxCbdz8
Reverse Crunch,Cardio,Kettlebell,Upper body,Push,"Abdominals, Lower Back, Shoulders","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Shoulder Stretch,Strength,Bodyweight,Core,Push,"Quadriceps, Glutes, Hamstrings","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=op9kVnSso6Q
Dips,Warm-up,Foam Roller,Lower body,Hold,"Biceps, Forearms","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Farmer's Walk,Cardio,Resistance Band,Lower body,Hold,"Chest, Triceps, Shoulders","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Skull Crushers,Strength,Bodyweight,Upper body,Push,"Chest, Triceps, Shoulders","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=9FGilxCbdz8
Handstand Hold,Stretching,Resistance Band,Core,Hold,"Hamstrings, Glutes, Lower Back","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Ankle Circles,Warm-up,Kettlebell,Upper body,Stretch,"Lats, Biceps, Rear Delts","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=aclHkVaku9U
Flutter Kicks,Mobility,Dumbbells,Upper body,Stretch,"Biceps, Forearms","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=op9kVnSso6Q
Front Raises,Stretching,Kettlebell,Lower body,Hold,"Shoulders, Triceps","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Seated Row,Mobility,Barbell,Lower body,Hold,"Shoulders, Triceps","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Good Mornings,Stretching,Dumbbells,Lower body,Stretch,"Lats, Biceps, Rear Delts","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Chin-Ups,Strength,Dumbbells,Core,Pull,"Quadriceps, Glutes, Hamstrings","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Sun Salutation,Mobility,Foam Roller,Core,Stretch,"Hip Flexors, Glutes","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Step-Ups,Strength,Barbell,Lower body,Stretch,"Abdominals, Lower Back, Shoulders","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Rowing Machine,Cardio,Resistance Band,Upper body,Push,"Lats, Biceps, Rear Delts","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=9FGilxCbdz8
Sled Push,Strength,Dumbbells,Upper body,Hold,"Chest, Triceps, Shoulders","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=9FGilxCbdz8
Bicep Curl,Stretching,Dumbbells,Lower body,Pull,"Shoulders, Triceps","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=op9kVnSso6Q
Arm Circles,Strength,Kettlebell,Upper body,Push,"Quadriceps, Glutes, Hamstrings","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=op9kVnSso6Q
Calf Raises,Stretching,Foam Roller,Upper body,Pull,"Chest, Triceps, Shoulders","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=aclHkVaku9U
Seated Calf Raise,Warm-up,Foam Roller,Core,Pull,"Shoulders, Triceps","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Leg Curl,Mobility,Barbell,Lower body,Push,"Lower Abdominals, Hip Flexors","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=9FGilxCbdz8
Chest Stretch,Stretching,Bodyweight,Upper body,Stretch,"Abdominals, Obliques","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Bench Press,Strength,Foam Roller,Upper body,Hold,"Hamstrings, Glutes, Lower Back","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Clamshells,Mobility,Dumbbells,Upper body,Push,"Quadriceps, Glutes, Hamstrings","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Arnold Press,Strength,Barbell,Upper body,Hold,"Lats, Biceps, Rear Delts","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Neck Stretch,Stretching,Resistance Band,Upper body,Pull,"Lats, Biceps, Rear Delts","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Sled Pull,Strength,Barbell,Upper body,Stretch,"Hip Flexors, Glutes","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Side Plank,Stretching,Dumbbells,Lower body,Push,"Shoulders, Triceps","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=JB2oyawG9KI
Bent Over Row,Warm-up,Barbell,Upper body,Push,"Shoulders, Triceps","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Side Plank,Cardio,Bodyweight,Core,Pull,"Chest, Triceps, Shoulders","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Push-Ups,Mobility,Dumbbells,Upper body,Hold,"Biceps, Forearms","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=9FGilxCbdz8
Bench Press,Warm-up,Foam Roller,Upper body,Hold,"Quadriceps, Glutes, Hamstrings","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Hammer Curl,Stretching,Foam Roller,Core,Stretch,"Lats, Biceps, Rear Delts","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Crab Walk,Warm-up,Barbell,Lower body,Stretch,"Hamstrings, Glutes, Lower Back","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Child's Pose,Cardio,Foam Roller,Upper body,Push,"Shoulders, Triceps","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=aclHkVaku9U
Sled Pull,Warm-up,Resistance Band,Lower body,Pull,"Hamstrings, Glutes, Lower Back","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=aclHkVaku9U
Box Jumps,Stretching,Dumbbells,Lower body,Hold,"Shoulders, Triceps","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Hamstring Stretch,Stretching,Resistance Band,Core,Stretch,"Hip Flexors, Glutes","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=op9kVnSso6Q
Bench Press,Warm-up,Dumbbells,Upper body,Stretch,"Lower Abdominals, Hip Flexors","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Cable Curl,Warm-up,Barbell,Lower body,Pull,"Hip Flexors, Glutes","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=aclHkVaku9U
Face Pulls,Mobility,Barbell,Lower body,Stretch,"Hamstrings, Glutes, Lower Back","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=op9kVnSso6Q
Neck Stretch,Stretching,Barbell,Upper body,Push,"Quadriceps, Glutes, Hamstrings","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=JB2oyawG9KI
Burpees,Cardio,Bodyweight,Upper body,Pull,"Shoulders, Triceps","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=op9kVnSso6Q
Wall Sit,Warm-up,Barbell,Lower body,Hold,"Hip Flexors, Glutes","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=9FGilxCbdz8
Air Bike,Mobility,Resistance Band,Core,Stretch,"Shoulders, Triceps","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=9FGilxCbdz8
Kettlebell Swing,Stretching,Kettlebell,Upper body,Push,"Hip Flexors, Glutes","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=op9kVnSso6Q
Overhead Press,Strength,Foam Roller,Lower body,Push,"Chest, Triceps, Shoulders","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=aclHkVaku9U
